ID,TenSach,TacGia,LoaiCSDL,STTKe,NXB,ChuDe
270819,Software project management : Readings and cases,"Kemerer, Chris F.
",Sách in,"005.1068   
/ K31 
","Chicago: Irwin, 1997",Kỹ thuật phần mềm; Software engineering
270776,Ada for software engineers,"Ben-Ari, M.
",Sách in,"005.133   
/ B456 
","Chichester: Jphn Wiley & Sons, 1998",Kỹ thuật phần mềm; Software engineering
58976,Software engineering,"Sommerville, Ian
",Sách in,"005.1   
/ S697 
","Harlow, Eng: Addison-Wesley, 2001",Software engineering; Kỹ thuật phần mềm
261993,Kĩ thuật phần mềm : Cách tiếp cận của người thực hành. Tập 2,"Ngô, Việt Trung  - Dịch
",Sách in,"005.1   
/ P935/T.2 
","Hà Nội: Giáo Dục, 2001",Kỹ thuật phần mềm; software engineering
144207,Fundamentals of software engineering = Software engineering,"Mandrioli, Dino ",Sách in,"005.1   
/ G421 
","Upper Saddle River, N.J.: Prentice Hall, 2003",Software engineering; Kỹ thuật phần mềm
153305,Software engineering : Principles and practice,"Jawadekar, Waman S.
",Sách in,"005.1   
/ J41 
","New Delhi: Tata McGraw-Hill Pub., 2004",Software engineering; Kỹ thuật phần mềm
153135,Jumpstart CMM/CMMI software process improvement : Using IEEE software engineering standards,"Land, Susan K.
",Sách in,"005.1   
/ L253 
","Hoboken, N.J.: Wiley, 2005",Software engineering; Capability maturity model (Computer software); Kỹ thuật phần mềm
164317,The cognitive dynamics of computer science : Cost-effective large scale software development,"Gyurky, Szabolcs Michael de
",Sách in,"005.1   
/ G998 
","Hoboken, N.J.: Wiley-Interscience, 2006",Software engineering; Kỹ thuật phần mềm
258953,Software engineering : A practitioner’s approach,"Pressman, Roger S.
",Sách in,"005.1   
/ P935 
","New York: McGraw-Hill Higher Education, 2010",Software engineering; Kỹ thuật phần mềm
152380,Phân tích hệ thống hướng đối tượng,"Phạm, Thị Xuân Lộc
",Sách in,"005.117   
/ L451 
",Cần Thơ: Trường Đại học Cần Thơ,Object-orriented programming (computer science); Lập trình hướng đối tượng (Khoa học máy tính)
